,output_area,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,Gigabit availability (% premises),% of premises below the USO,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises with Gigabit availability,Number of premises below the USO,Number of premises able to receive decent broadband from FWA,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,fast_bin_pct_prems,gig_bin_prems,gig_qbin_prems,uk_country,oa21cd,rgn22cd,rgn22nm,rgn22nmw,OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,11_or_under
10,E00041381,122,122,100.0,99.2,99.2,0.0,0.0,0.0,0.0,99.2,0.0,0.0,122,121,121,0,0,0,0,121,0,0,0.8,99.2,0.0,0.0,0.0,0.0,1,121,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041381,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041381,E01008162,259,4,2,0,0,3,4,5,0,0,3,1,2,1,0,4,0,1,0,4,1,7,1,3,6,3,3,2,5,7,10,6,6,4,2,6,3,2,2,4,3,3,6,4,2,3,2,4,4,3,4,8,2,0,4,6,2,3,8,6,2,3,1,6,3,3,2,6,2,2,3,7,5,3,2,6,1,1,0,0,1,2,0,2,1,0,0,0,0,1,0,0,24
11,E00041382,138,138,100.0,85.5,85.5,0.0,0.0,0.0,0.0,85.5,0.0,0.0,138,118,118,0,0,0,0,118,0,0,14.5,85.5,0.0,0.0,0.0,0.0,20,118,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041382,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041382,E01008162,176,1,2,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,6,8,3,0,1,4,9,3,1,3,6,4,4,5,1,4,4,4,2,3,0,2,2,3,0,2,3,1,7,2,4,3,2,4,1,3,5,2,2,5,1,2,1,0,3,2,1,3,0,1,2,2,2,1,2,2,1,1,0,1,0,2,4,0,0,1,0,0,7
12,E00041383,140,140,100.0,99.3,99.3,0.0,0.0,0.0,0.0,99.3,0.0,0.0,140,139,139,0,0,0,0,139,0,0,0.7,99.3,0.0,0.0,0.0,0.0,1,139,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041383,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041383,E01008162,301,3,3,1,3,1,2,2,2,4,2,2,2,3,6,3,0,3,2,1,1,1,5,7,7,13,10,3,9,7,6,2,1,5,5,9,5,7,3,2,6,8,2,1,6,5,3,1,4,7,1,4,5,2,5,2,4,2,8,4,2,7,3,2,1,2,2,3,3,2,2,3,2,4,7,3,3,4,2,1,0,2,2,0,1,0,1,1,1,0,0,2,27
13,E00041384,258,258,100.0,99.6,94.6,0.0,0.0,0.0,0.0,94.6,0.0,0.0,258,257,244,0,0,0,0,244,0,0,5.4,94.6,0.0,0.0,0.0,0.0,14,244,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041384,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041384,E01008163,390,2,7,3,3,4,2,5,3,4,2,3,3,5,1,2,3,0,6,5,8,4,3,4,8,8,10,10,11,16,9,10,6,9,8,6,7,6,5,6,4,7,4,5,5,3,2,1,5,5,4,8,6,4,9,9,13,3,4,5,8,2,3,3,5,1,2,2,2,1,1,1,2,3,6,1,2,0,1,4,1,1,3,4,1,1,2,0,4,0,0,0,41
14,E00041385,120,120,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,120,120,120,0,0,0,0,120,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,120,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041385,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041385,E01008164,239,2,1,1,2,1,2,1,1,2,2,2,5,0,0,2,2,2,1,1,1,5,5,4,1,4,2,5,7,9,6,2,6,7,6,7,4,6,4,4,4,5,1,3,3,4,2,2,4,1,2,2,5,2,4,2,2,4,5,1,0,2,4,3,1,5,2,3,0,0,1,3,0,3,6,4,0,0,0,1,1,2,1,1,2,5,0,1,1,1,2,1,22
15,E00041386,243,242,99.6,50.6,50.6,0.0,0.0,0.0,0.0,50.2,0.0,0.0,242,123,123,0,0,0,0,122,0,0,49.0,50.6,0.0,0.0,0.0,0.0,119,123,0,0,0,0,"(40.0, 60.0]","(102.0, 129.0]",Third quartile,England,E00041386,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041386,E01008162,605,11,5,5,7,10,9,7,6,4,1,2,2,0,4,2,1,4,1,2,2,5,11,27,25,19,27,33,23,33,31,30,30,31,24,26,15,12,14,12,8,11,7,7,9,4,4,4,1,4,3,0,3,2,3,2,1,0,0,1,1,3,4,1,0,2,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69
16,E00041388,139,139,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,139,139,139,0,0,0,0,139,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0,139,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041388,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041388,E01008165,327,2,4,3,6,3,6,8,5,2,4,5,6,4,1,3,3,4,5,3,6,5,1,5,6,7,4,6,5,9,3,6,2,4,3,2,4,0,5,6,1,13,7,5,3,2,3,2,6,9,1,6,4,11,7,4,3,4,4,9,5,4,1,3,3,4,3,2,4,2,5,3,5,3,0,1,0,3,1,0,0,1,1,0,0,2,0,0,0,0,0,1,54
17,E00041389,122,122,100.0,99.2,99.2,0.0,0.0,0.0,0.0,99.2,0.0,0.0,122,121,121,0,0,0,0,121,0,0,0.8,99.2,0.0,0.0,0.0,0.0,1,121,0,0,0,0,"(80.0, 100.0]","(102.0, 129.0]",Third quartile,England,E00041389,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041389,E01008164,193,3,0,0,3,0,3,3,0,1,3,1,2,3,1,4,0,2,1,0,0,1,2,1,3,10,6,1,1,2,1,8,7,3,4,6,2,5,2,1,1,4,7,4,3,3,4,5,3,4,3,2,3,1,3,1,1,2,2,1,5,1,2,3,2,2,3,2,2,2,2,2,4,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19
18,E00041390,164,164,100.0,99.4,99.4,0.0,0.0,0.0,0.0,99.4,0.0,0.0,164,163,163,0,0,0,0,163,0,0,0.6,99.4,0.0,0.0,0.0,0.0,1,163,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041390,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041390,E01008164,372,6,4,3,2,6,1,2,4,3,5,6,5,5,3,1,3,3,3,5,4,5,6,10,5,6,6,3,2,3,5,4,7,8,7,5,10,9,7,7,7,2,3,1,8,6,1,2,4,4,8,2,7,6,8,3,0,8,2,3,4,5,5,4,0,4,2,4,3,4,4,1,3,2,6,1,3,4,2,5,1,3,2,1,4,1,1,1,1,4,2,11,47
19,E00041393,164,163,99.4,99.4,98.8,0.0,0.0,0.0,0.0,98.8,0.0,0.0,163,163,162,0,0,0,0,162,0,0,0.6,98.8,0.0,0.0,0.0,0.0,1,162,0,0,0,0,"(80.0, 100.0]","(129.0, 1633.0]",Fourth quartile,England,E00041393,E12000001,North East,Gogledd-ddwyrain Lloegr,E00041393,E01008171,313,7,3,8,3,8,6,2,6,1,6,4,3,3,5,1,1,3,1,1,0,3,3,6,6,6,5,9,10,7,9,3,8,7,9,8,9,6,6,4,5,7,4,3,4,5,1,2,3,3,2,3,3,1,4,2,3,3,4,2,3,3,2,5,6,3,1,4,1,5,1,5,1,3,1,1,1,1,1,0,1,0,2,0,0,1,1,0,0,0,0,0,57
